2, 1120, 1120, 305, 100, 0, 0.00753832
4, 3360, 3360, 917, 100, 0, 0.0092156
8, 7839, 7838, 2140, 99, 0, 0.0151843
16, 16146, 15479, 4226, 95, 4, 0.0254031
32, 26387, 18034, 4924, 68, 31, 0.0198125
64, 43510, 16442, 4489, 37, 62, 0.00980476
100, 63529, 16168, 4414, 25, 74, 0.00699673
