2, 1120, 1120, 305, 100, 0, 0.00753832
4, 3360, 3360, 917, 100, 0, 0.0092156
8, 7839, 7838, 2140, 99, 0, 0.0151843
16, 16146, 15479, 4226, 95, 4, 0.0254031
32, 26387, 18034, 4924, 68, 31, 0.0198125
64, 43510, 16442, 4489, 37, 62, 0.00980476
100, 63529, 16168, 4414, 25, 74, 0.00699673

2, 1120, 1120, 305, 100, 0, 0.00978745
4, 3360, 3360, 917, 100, 0, 0.0141358
8, 7840, 7839, 2140, 99, 0, 0.0270466
16, 15125, 13003, 3550, 85, 14, 0.445353
32, 24093, 11350, 3099, 47, 52, 0.302961
64, 42249, 13109, 3579, 31, 68, 0.174801
100, 61963, 12637, 3450, 20, 79, 0.106967

2, 1120, 1120, 305, 100, 0, 0.0119103
4, 3360, 3360, 917, 100, 0, 0.0195283
8, 7837, 7834, 2139, 99, 0, 0.03863
16, 12627, 6939, 1894, 54, 45, 0.294404
32, 21808, 6958, 1899, 31, 68, 0.179316
64, 40084, 8523, 2327, 21, 78, 0.103227
100, 59573, 7032, 1920, 11, 88, 0.0542161
